TRI1|F_pseudograminearum_CS3096	CP099494.1	98.094	577	1539	514	1090	437613	438189	0.0	1005
TRI1|F_pseudograminearum_CS3096	CP099494.1	97.333	450	1539	1090	1539	438241	438690	0.0	765
TRI1|F_pseudograminearum_CS3096	CP099494.1	96.765	340	1539	1	340	436937	437276	5.84e-161	568
TRI1|F_pseudograminearum_CS3096	CP099494.1	97.196	107	1539	339	445	437329	437435	8.90e-45	182
TRI1|F_pseudograminearum_CS3096	CP099494.1	98.551	69	1539	446	514	437497	437565	5.47e-27	122
TRI5|Fusarium_graminearum	CP099493.1	94.537	659	1128	470	1128	5465855	5466513	0.0	1018
TRI5|Fusarium_graminearum	CP099493.1	95.949	469	1128	1	469	5465325	5465793	0.0	761
TRI5|Fsporotrichioides_NRRL3299	CP099493.1	85.055	1191	1185	1	1183	5465325	5466511	0.0	1203
TRI5|Fusarium_pseudograminearum_CS3096	CP099493.1	94.825	657	1128	470	1126	5465855	5466511	0.0	1026
TRI5|Fusarium_pseudograminearum_CS3096	CP099493.1	94.243	469	1128	1	469	5465325	5465793	0.0	717
TRI5|Fusarium_poae	CP099493.1	84.789	664	1134	470	1132	5465855	5466511	0.0	660
TRI5|Fusarium_poae	CP099493.1	88.699	469	1134	1	469	5465325	5465793	9.21e-163	573
TRI6|Fusarium_graminearum	CP099493.1	95.434	657	657	1	657	5461745	5462401	0.0	1048
TRI6|Fusarium_sporotrichioides	CP099493.1	84.394	660	657	1	657	5461745	5462401	0.0	643
TRI6|Fusarium_pseudograminearum_CS3096	CP099493.1	98.326	657	657	1	657	5461745	5462401	0.0	1153
TRI6|Fusarium_poae	CP099493.1	86.726	565	693	130	693	5461838	5462401	4.20e-179	627
TRI6|Fusarium_poae	CP099493.1	95.000	100	693	1	100	5461745	5461844	6.62e-38	158
TRI8|Fusarium_graminearum_PH-1	CP099493.1	86.991	1276	1338	1	1272	5455493	5454228	0.0	1424
TRI8|Fusarium_sporotrichioides	CP099493.1	81.113	1276	1344	1	1269	5455493	5454237	0.0	998
TRI8|Fusarium_pseudograminearum_CS3096	CP099493.1	97.691	1299	1299	1	1299	5455493	5454195	0.0	2233
TRI8|Fusarium_poae	CP099493.1	79.593	1279	1341	1	1266	5455493	5454237	0.0	883
TRI11|Fusarium_graminearum_PH-1	CP099493.1	92.766	788	1479	53	840	5472227	5471440	0.0	1140
TRI11|Fusarium_graminearum_PH-1	CP099493.1	95.238	315	1479	844	1158	5471381	5471067	2.08e-140	499
TRI11|Fusarium_graminearum_PH-1	CP099493.1	96.407	167	1479	1159	1325	5470988	5470822	3.81e-73	276
TRI11|Fusarium_graminearum_PH-1	CP099493.1	95.455	154	1479	1326	1479	5470753	5470600	2.99e-64	246
TRI11|Fusarium_sporotrichioides	CP099493.1	84.268	1748	1722	1	1722	5472336	5470600	0.0	1670
TRI11|Fusarium_pseudograminearum	CP099493.1	97.856	793	1479	48	840	5472232	5471440	0.0	1371
TRI11|Fusarium_pseudograminearum	CP099493.1	98.095	315	1479	844	1158	5471381	5471067	2.03e-155	549
TRI11|Fusarium_pseudograminearum	CP099493.1	94.805	154	1479	1326	1479	5470753	5470600	1.39e-62	241
TRI11|Fusarium_pseudograminearum	CP099493.1	91.018	167	1479	1159	1325	5470988	5470822	3.89e-58	226
TRI11|Fusarium_poae	CP099493.1	86.624	785	1479	53	837	5472227	5471443	0.0	869
TRI11|Fusarium_poae	CP099493.1	86.562	320	1479	841	1158	5471384	5471067	2.21e-95	350
TRI11|Fusarium_poae	CP099493.1	86.905	168	1479	1159	1325	5470988	5470822	1.84e-46	187
TRI12|Fusarium_graminearum	CP099493.1	90.831	698	1872	630	1327	5474194	5473497	0.0	935
TRI12|Fusarium_graminearum	CP099493.1	92.683	615	1872	1	615	5474883	5474269	0.0	887
TRI12|Fusarium_graminearum	CP099493.1	87.912	546	1872	1328	1872	5473447	5472902	0.0	641
TRI12|Fusarium_sporotrichioides	CP099493.1	79.712	1878	1902	23	1883	5474861	5473000	0.0	1327
TRI12|Fusarium_pseudograminearum	CP099493.1	97.612	712	1797	616	1327	5474208	5473497	0.0	1221
TRI12|Fusarium_pseudograminearum	CP099493.1	91.883	616	1797	1	616	5474883	5474268	0.0	861
TRI12|Fusarium_pseudograminearum	CP099493.1	98.298	470	1797	1328	1797	5473447	5472978	0.0	824
TRI3|Fusarium_pseudograminearum_CS3096	CP099493.1	97.051	780	1554	1	780	5456103	5456882	0.0	1314
